Inoder Traversal of Created Tree
Name: abba, Colour: Black
Name: abraham, Colour: Red
Name: abraheim, Colour: Red
Name: abudor, Colour: Black
Name: ali, Colour: Black
Name: amr, Colour: Black
Name: arutnev, Colour: Red
Name: avohx, Colour: Black
Name: breslau, Colour: Black
Name: broskiy, Colour: Red
Name: bruhgman, Colour: Red
Name: bruhgnise, Colour: Black
Name: bruhgskiy, Colour: Black
Name: bruhgthony, Colour: Black
Name: brzenskiy, Colour: Red
Name: bubzskiy, Colour: Black
Name: compartmentalisation, Colour: Red
Name: danzig, Colour: Red
Name: hamud, Colour: Black
Name: ibrahem, Colour: Black
Name: ibrahim, Colour: Black
Name: isaac, Colour: Red
Name: isaak, Colour: Black
Name: itzhak, Colour: Red
Name: khabba, Colour: Black
Name: konigsberg, Colour: Black
Name: landin, Colour: Black
Name: mahammad, Colour: Red
Name: mahmout, Colour: Black
Name: mans, Colour: Red
Name: mehmet, Colour: Red
Name: mohammed, Colour: Red
Name: mouse, Colour: Black
Name: mousse, Colour: Black
Name: muhammad, Colour: Black
Name: muhammed, Colour: Black
Name: nate, Colour: Black
Name: nathaniel, Colour: Red
Name: nathaniovich, Colour: Red
Name: nathany, Colour: Black
Name: plopskiy, Colour: Red
Name: polonaise, Colour: Black
Name: posen, Colour: Black
Name: rashid, Colour: Black
Name: raskolnikov, Colour: Red
Name: razumihin, Colour: Black
Name: root, Colour: Red
Name: sammy, Colour: Black
Name: schneider, Colour: Red
Name: shiv, Colour: Black
Name: standin, Colour: Black
Name: tenebrouse, Colour: Black
Name: urban, Colour: Black
Name: ventura, Colour: Red
Name: yessirskiy, Colour: Black
Name: yitzhak, Colour: Red
Name: znajder, Colour: Red
Name: zweig, Colour: Black
